Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Continent,Location,Dis Mag Value,Dis Mag Scale,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,Total Damages ('000 US$),CPI
1987,Natural,Meteorological,Storm,Tropical cyclone,,,United States of America (the),USA,Americas,"Colorado, Texas",,Kph,1987,6.0,23.0,1987,6.0,23.0,,,43.90266239
1988,Natural,Meteorological,Storm,Tropical cyclone,,Keith,United States of America (the),USA,Americas,Floride,,Kph,1988,11.0,22.0,1988,11.0,22.0,,,45.69289676
1989,Natural,Meteorological,Storm,Tropical cyclone,,Hugo,United States of America (the),USA,Americas,South Caroline,,Kph,1989,9.0,25.0,1989,9.0,25.0,51.0,7000000.0,47.89849737
1989,Natural,Meteorological,Storm,Tropical cyclone,,Allison,United States of America (the),USA,Americas,"Texas, Louisiane",,Kph,1989,6.0,25.0,1989,6.0,25.0,,500000.0,47.89849737
1989,Natural,Meteorological,Storm,Tropical cyclone,,Chantal,United States of America (the),USA,Americas,Texas,,Kph,1989,8.0,1.0,1989,8.0,2.0,,,47.89849737
1989,Natural,Meteorological,Storm,Tropical cyclone,, Jerry,United States of America (the),USA,Americas,Texas,,Kph,1989,10.0,15.0,1989,10.0,15.0,2.0,,47.89849737
1991,Natural,Meteorological,Storm,Tropical cyclone,,Bob,United States of America (the),USA,Americas,"North Carolina, Delaware, New York, Richmond, Maine, Rhode Island, Connecticut, Massachusetts, Indiana, Michigan, Ohio, Kentucky",160.0,Kph,1991,8.0,18.0,1991,8.0,20.0,18.0,1500000.0,52.62202002
1991,Natural,Meteorological,Storm,Tropical cyclone,,Bob,United States of America (the),USA,Americas,"New England, New York, New Jersey",160.0,Kph,1991,10.0,30.0,1991,10.0,30.0,2.0,,52.62202002
1991,Natural,Meteorological,Storm,Tropical cyclone,,Grace,United States of America (the),USA,Americas,"Massachusetts, New York, Rhode Island, New Jersey, Connecticut",,Kph,1991,10.0,29.0,1991,10.0,29.0,2.0,,52.62202002
1992,Natural,Meteorological,Storm,Tropical cyclone,,Iniki,United States of America (the),USA,Americas,"Kauai, Nihau, Oahu, Hawai",,Kph,1992,9.0,11.0,1992,9.0,12.0,6.0,5000000.0,54.21584465
1992,Natural,Meteorological,Storm,Tropical cyclone,,Andrew,United States of America (the),USA,Americas,"Florida, Louisiana, Bahamas",290.0,Kph,1992,8.0,24.0,1992,8.0,24.0,44.0,26500000.0,54.21584465
1992,Natural,Meteorological,Storm,Tropical cyclone,,Axel,United States of America (the),USA,Americas,Majuro ( Marshall Isl.),,Kph,1992,1.0,7.0,1992,1.0,7.0,,,54.21584465
1993,Natural,Meteorological,Storm,Tropical cyclone,,Emily,United States of America (the),USA,Americas,North Carolina,113.0,Kph,1993,8.0,28.0,1993,8.0,28.0,1.0,,55.8161073
1993,Natural,Meteorological,Storm,Tropical cyclone,,,United States of America (the),USA,Americas,Texas,,Kph,1993,4.0,28.0,1993,4.0,29.0,,,55.8161073
1993,Natural,Meteorological,Storm,Tropical cyclone,,Wylie,United States of America (the),USA,Americas,"Minnesota, Kansas, Oklahoma, South Dakota, Texas, Arkansas, Nebraska, Louisiana",,Kph,1993,5.0,5.0,1993,5.0,5.0,3.0,,55.8161073
1994,Natural,Meteorological,Storm,Tropical cyclone,,Gordon,United States of America (the),USA,Americas,,,Kph,1994,11.0,13.0,1994,11.0,18.0,6.0,500000.0,57.27148263
1994,Natural,Meteorological,Storm,Tropical cyclone,,Alberto,United States of America (the),USA,Americas,"Georgia, Michigan, Florida, Alabama",,Kph,1994,7.0,,1994,7.0,,32.0,250000.0,57.27148263
1995,Natural,Meteorological,Storm,Tropical cyclone,,Opal,United States of America (the),USA,Americas,"Florida, Georgia, Alabama, North Carolina",200.0,Kph,1995,10.0,4.0,1995,10.0,8.0,19.0,3000000.0,58.87818329
1995,Natural,Meteorological,Storm,Tropical cyclone,,Erin,United States of America (the),USA,Americas,"Florida, Alabama, Mississipi",135.0,Kph,1995,7.0,31.0,1995,8.0,6.0,11.0,700000.0,58.87818329
1995,Natural,Meteorological,Storm,Tropical cyclone,,Marilyn,United States of America (the),USA,Americas,,,Kph,1995,9.0,14.0,1995,9.0,19.0,8.0,2100000.0,58.87818329
1996,Natural,Meteorological,Storm,Tropical cyclone,,Fran,United States of America (the),USA,Americas,"North Carolina, South Carolina, Virginia, Maryland, West Virginia, Pennsylvania, Ohio, Washington DC",193.0,Kph,1996,9.0,5.0,1996,9.0,11.0,39.0,3400000.0,60.60402838
1997,Natural,Meteorological,Storm,Tropical cyclone,,Danny,United States of America (the),USA,Americas,"Louisiana, Alabama, South Carolina, North Carolina",,Kph,1997,7.0,18.0,1997,7.0,24.0,,,62.02075732
1998,Natural,Meteorological,Storm,Tropical cyclone,,Charley,United States of America (the),USA,Americas,Texas,97.0,Kph,1998,8.0,21.0,1998,8.0,24.0,7.0,,62.98350111
1998,Natural,Meteorological,Storm,Tropical cyclone,,Georges,United States of America (the),USA,Americas,"Florida, Mississippi, Alabama, Lousiana",,Kph,1998,9.0,20.0,1998,9.0,29.0,4.0,1204950.0,62.98350111
1998,Natural,Meteorological,Storm,Tropical cyclone,,Bonnie,United States of America (the),USA,Americas,"North Carolina, Virginia, South Carolina",,Kph,1998,8.0,19.0,1998,8.0,30.0,2.0,1500000.0,62.98350111
1998,Natural,Meteorological,Storm,Tropical cyclone,,Frances,United States of America (the),USA,Americas,"Texas, Louisiana",,Kph,1998,9.0,8.0,1998,9.0,13.0,1.0,500000.0,62.98350111
1999,Natural,Meteorological,Storm,Tropical cyclone,,Floyd,United States of America (the),USA,Americas,"North Carolina, Florida, South Carolina, Virginia, Maryland, Pennsylvania, New Jersey, New York, Delaware, Rhode Island, Connecticut, Massachusetts, Vermont",200.0,Kph,1999,9.0,13.0,1999,9.0,17.0,70.0,7000000.0,64.36159282
1999,Natural,Meteorological,Storm,Tropical cyclone,,Bret,United States of America (the),USA,Americas,Kennedy county (Texas),200.0,Kph,1999,8.0,22.0,1999,8.0,23.0,3.0,70000.0,64.36159282
1999,Natural,Meteorological,Storm,Tropical cyclone,,Irene,United States of America (the),USA,Americas,"Bahamas, Floride",120.0,Kph,1999,10.0,15.0,1999,10.0,15.0,6.0,100000.0,64.36159282
1999,Natural,Meteorological,Storm,Tropical cyclone,,Dennis,United States of America (the),USA,Americas,"Bahamas, North Carolina, Virginia",,Kph,1999,8.0,28.0,1999,9.0,7.0,3.0,62500.0,64.36159282
2000,Natural,Meteorological,Storm,Tropical cyclone,,Leslie,United States of America (the),USA,Americas,"Miami-Dade, Monroe, Broward, Collier districts (Florida province)",,Kph,2000,10.0,4.0,2000,10.0,4.0,2.0,219000.0,66.53499421
2001,Natural,Meteorological,Storm,Tropical cyclone,,Allison,United States of America (the),USA,Americas,"Texas, Mississippi, Louisiana, Florida, Pennsylvania, South Carolina, North Carolina, Georgia, Pensylvania, New Jersey, Virginia, Iowa provinces",,Kph,2001,6.0,5.0,2001,6.0,17.0,41.0,6000000.0,68.41537906
